"id","answer_num","answer_text","is_correct","question_id"
"1",1,"25 кв.см/кв.м",False,"1"
"2",2,"50 кв.см/кв.м",True,"1"
"3",3,"75 кв.см/кв.м",False,"1"
"4",4,"Я не знаю",False,"1"
"5",1,"3 мм",False,"2"
"6",2,"5 мм",True,"2"
"7",3,"7 мм",False,"2"
"8",4,"10 мм",False,"2"
"9",1,"3 мм",False,"3"
"10",2,"5 мм",False,"3"
"11",3,"7 мм",False,"3"
"12",4,"10 мм",True,"3"
"13",1,"2-7 мм",False,"4"
"14",2,"3-10 мм",True,"4"
"15",3,"4-12 мм",False,"4"
"16",4,"5-15 мм",False,"4"
"17",1,"2-7 мм",False,"5"
"18",2,"3-10 мм",False,"5"
"19",3,"4-12 мм",True,"5"
"20",4,"5-15 мм",False,"5"
"21",1,"20 кв.см/кв.м",False,"6"
"22",2,"40 кв.см/кв.м",False,"6"
"23",3,"80 кв.см/кв.м",True,"6"
"24",4,"100 кв.см/кв.м",False,"6"
"25",1,"20 мм",True,"7"
"26",2,"40 мм",False,"7"
"27",3,"60 мм",False,"7"
"28",4,"80 мм",False,"7"
"29",1,"3 шт 1 мм",False,"8"
"30",2,"5 шт 2 мм",True,"8"
"31",3,"7 шт 5 мм",False,"8"
"32",4,"10 шт 7 мм",False,"8"
"33",1,"3 мм",False,"9"
"34",2,"5 мм",True,"9"
"35",3,"7 мм",False,"9"
"36",4,"10 мм",False,"9"
"37",1,"ГОСТ 45213, ГОСТ 8756",False,"10"
"38",2,"ГОСТ 52901, ГОСТ 8756",False,"10"
"39",3,"ГОСТ 45213, ГОСТ 9142",False,"10"
"40",4,"ГОСТ 52901, ГОСТ 9142",True,"10"
"41",1,"3,8 кН/м",False,"11"
"42",2,"4,6 кН/м",True,"11"
"43",3,"5,4 кН/м",False,"11"
"44",4,"6,0 кН/м",True,"11"
"45",1,"3,8 кН/м",False,"12"
"46",2,"4,6 кН/м",False,"12"
"47",3,"5,4 кН/м",False,"12"
"48",4,"6,0 кН/м",True,"12"
